precision,recall
0.03799800010525762,1.0
0.03812239294577327,1.0
0.038249629158720065,1.0
0.03837567768682896,1.0
0.03850461308730201,1.0
0.038632350580555405,1.0
0.03876301943519811,1.0
0.03884070462748478,0.9986149584487535
0.038972972972972975,0.9986149584487535
0.039104024297646166,0.9986149584487535
0.039190071848465055,0.997229916897507
0.03932277444019661,0.997229916897507
0.03940157825515125,0.9958448753462604
0.03948743331683441,0.9944598337950139
0.03962691097742701,0.9944598337950139
0.03976517501107665,0.9944598337950139
0.03990218961876181,0.9944598337950139
0.03998661535887569,0.9930747922437673
0.0401253567631093,0.9930747922437673
0.04026506430055596,0.9930747922437673
0.040410302654568,0.9930747922437673
0.040552004977094054,0.9930747922437673
0.040581190759975024,0.9903047091412742
0.040612895876053774,0.9875346260387812
0.04075916080718001,0.9875346260387812
0.040906483075157776,0.9875346260387812
0.04106196728864317,0.9875346260387812
0.04120910877355219,0.9875346260387812
0.04135970763965427,0.9875346260387812
0.04151624548736462,0.9875346260387812
0.04166910174741394,0.9875346260387812
0.04176198017479031,0.9861495844875346
0.04186292981629769,0.9847645429362881
0.04196217494089834,0.9833795013850416
0.04194103339858812,0.9792243767313019
0.04210087536473531,0.9792243767313019
0.042199641362821276,0.9778393351800554
0.042364236423642364,0.9778393351800554
0.04252755858080839,0.9778393351800554
0.042689563429677106,0.9778393351800554
0.04279470681073206,0.9764542936288089
0.0429589909207239,0.9764542936288089
0.0431245412282848,0.9764542936288089
0.04329668979917706,0.9764542936288089
0.04340320591861899,0.9750692520775623
0.043384082188389655,0.9709141274238227
0.04355931150189524,0.9709141274238227
0.043727777431227,0.9709141274238227
0.043649799599198395,0.9653739612188366
0.04382820851411683,0.9653739612188366
0.04400530336511144,0.9653739612188366
0.044120443740095085,0.96398891966759
0.044305811954930295,0.96398891966759
0.04428964018661724,0.9598337950138505
0.04434034907597536,0.9570637119113573
0.0444029129342012,0.9542936288088643
0.04458392649152323,0.9542936288088643
0.04470144889870704,0.9529085872576177
0.044828711256117454,0.9515235457063712
0.04501670925889522,0.9515235457063712
0.04520034212777156,0.9515235457063712
0.045262323245672,0.9487534626038782
0.04545152942737708,0.9487534626038782
0.04557569296375266,0.9473684210526315
0.04577087794432548,0.9473684210526315
0.04570506788546848,0.9418282548476454
0.04583192710091124,0.9404432132963989
0.04603701945894637,0.9404432132963989
0.04623765747361253,0.9404432132963989
0.04637482900136799,0.9390581717451524
0.04643813972659202,0.9362880886426593
0.0465020008279288,0.9335180055401662
0.04656641951354722,0.9307479224376731
0.046631403118040086,0.9279778393351801
0.04663683400922948,0.9238227146814404
0.0468464672004495,0.9238227146814404
0.04683972911963882,0.9196675900277008
0.046839569160997734,0.9155124653739612
0.046774882528833835,0.909972299168975
0.04698562540227419,0.909972299168975
0.04712982254472304,0.9085872576177285
0.04728559052844355,0.907202216066482
0.047366893950384445,0.9044321329639889
0.04759475218658892,0.9044321329639889
0.047455144635664595,0.8975069252077562
0.047464861284862755,0.8933518005540166
0.04746414313174627,0.889196675900277
0.04731837765562324,0.8822714681440443
0.047391596387790134,0.8795013850415513
0.04746550689862027,0.8767313019390581
0.04769439421338156,0.8767313019390581
0.04792187145128322,0.8767313019390581
0.04786181707502663,0.871191135734072
0.04809603914971708,0.871191135734072
0.04825572460427232,0.8698060941828255
0.048497953509923544,0.8698060941828255
0.048269439702002176,0.8614958448753463
0.048447495709158996,0.8601108033240997
0.048549019607843136,0.8573407202216067
0.048793946082295446,0.8573407202216067
0.04896988906497623,0.8559556786703602
0.049139853456514816,0.8545706371191135
0.049155391882155154,0.850415512465374
0.04942843342456931,0.850415512465374
0.04952257646868425,0.8476454293628809
0.04978038067349927,0.8476454293628809
0.04996728819103696,0.8462603878116344
0.050238447623746095,0.8462603878116344
0.0505000413257294,0.8462603878116344
0.05035732092404853,0.8393351800554016
0.05054302422723475,0.8379501385041551
0.05073072400470351,0.8365650969529086
0.05066283880773453,0.8310249307479224
0.050522204296510144,0.8240997229916898
0.05056803621764756,0.8199445983379502
0.05067857756399244,0.817174515235457
0.0509587148039385,0.817174515235457
0.05090340514246004,0.8116343490304709
0.05109170305676856,0.8102493074792244
0.051286554843242294,0.8088642659279779
0.051329622758194186,0.8047091412742382
0.05152807391613362,0.8033240997229917
0.051550075940319844,0.7991689750692521
0.051590868236563,0.7950138504155124
0.05178958785249458,0.7936288088642659
0.05180876204326486,0.7894736842105263
0.0520347508001829,0.7880886426592798
0.052152317880794705,0.7853185595567868
0.05245628642797669,0.7853185595567868
0.05257770333147217,0.7825484764542936
0.052700552279322285,0.7797783933518005
0.05273069679849341,0.775623268698061
0.052970719226760166,0.7742382271468145
0.05290753098188751,0.7686980609418282
0.05303538889421694,0.7659279778393352
0.05306319343945972,0.7617728531855956
0.05329579652460926,0.760387811634349
0.05352085164566852,0.7590027700831025
0.053562653562653564,0.7548476454293629
0.05379746835443038,0.7534626038781164
0.05393034825870647,0.7506925207756233
0.05387542559583417,0.7451523545706371
0.05412215279177585,0.7437673130193906
0.05406776222357476,0.7382271468144044
0.05430788076766027,0.7368421052631579
0.054567875860651524,0.7354570637119113
0.05460750853242321,0.7313019390581718
0.05465903175429464,0.7271468144044322
0.054705512471180044,0.7229916897506925
0.05498100464330941,0.721606648199446
0.054817805163072345,0.7146814404432132
0.055091998288403936,0.7132963988919667
0.05504685985134116,0.7077562326869806
0.05532053368044256,0.7063711911357341
0.055476684503658405,0.703601108033241
0.05586100725753244,0.703601108033241
0.05602302922940655,0.7008310249307479
0.05629877369007804,0.6994459833795014
0.056597417181358786,0.6980609418282548
0.05688758199502375,0.6966759002770083
0.056853138885724054,0.6911357340720221
0.05670990701412008,0.6842105263157895
0.05688518903919528,0.6814404432132964
0.05706300221264703,0.6786703601108033
0.05702886646327153,0.6731301939058172
0.0574468085106383,0.6731301939058172
0.057513693736603956,0.6689750692520776
0.057828434313137375,0.667590027700831
0.0582688588007737,0.667590027700831
0.058465286236297195,0.6648199445983379
0.058787432498772704,0.6634349030470914
0.05914377629299678,0.6620498614958449
0.05948372615039282,0.6606648199445984
0.05969586527585773,0.6578947368421053
0.060172282746389666,0.6578947368421053
0.06027327288979696,0.6537396121883656
0.06024716786817714,0.6481994459833795
0.06060999351070733,0.646814404432133
0.06084794556398848,0.6440443213296398
0.06121372031662269,0.6426592797783933
0.06171854216546954,0.6426592797783933
0.06210596914822267,0.6412742382271468
0.0625,0.6398891966759003
0.06289222373806276,0.6385041551246537
0.06329984863079675,0.6371191135734072
0.06371460299833426,0.6357340720221607
0.06398767852142256,0.6329639889196675
0.06442497880757277,0.631578947368421
0.06442417331812998,0.6260387811634349
0.06443261901337552,0.6204986149584487
0.0644412191582003,0.6149584487534626
0.06473345049794962,0.6121883656509696
0.06517883535323678,0.610803324099723
0.06490599820948971,0.6024930747922438
0.06506024096385542,0.5983379501385041
0.06521739130434782,0.5941828254847645
0.06554105909439754,0.5914127423822715
0.06495117036118431,0.5803324099722992
0.06526843011425888,0.5775623268698061
0.06527580211790739,0.5720221606648199
0.06562350311352387,0.5692520775623269
0.06611836800516045,0.5678670360110804
0.06662322853884997,0.5664819944598338
0.06699588477366256,0.5637119113573407
0.06718775985365043,0.5595567867036011
0.0675516719879012,0.556786703601108
0.06810461956521739,0.5554016620498615
0.06814280810161345,0.5498614958448753
0.06871421134825612,0.5484764542936288
0.06878399719248991,0.5429362880886427
0.06883093844243392,0.5373961218836565
0.06869955156950673,0.5304709141274239
0.0693033381712627,0.5290858725761773
0.06938325991189427,0.5235457063711911
0.06982358402971216,0.5207756232686981
0.07008643367155205,0.5166204986149584
0.0703689615823507,0.5124653739612188
0.07082371054657428,0.5096952908587258
0.07035665562268564,0.5
0.07085060193408328,0.49722991689750695
0.07072927072927072,0.4903047091412742
0.0706334750050597,0.48337950138504154
0.07093070930709307,0.4792243767313019
0.07123572170301143,0.47506925207756234
0.0707070707070707,0.46537396121883656
0.0710172744721689,0.46121883656509693
0.07181483884923211,0.4598337950138504
0.0723525542644157,0.45706371191135736
0.07271514342895263,0.45290858725761773
0.07284618854307623,0.4473684210526316
0.07276887871853546,0.4404432132963989
0.07313675412119805,0.4362880886426593
0.07378595002357378,0.43351800554016623
0.07465900933237617,0.43213296398891965
0.07529754675734758,0.4293628808864266
0.07548100641341884,0.42382271468144045
0.07593984962406015,0.4196675900277008
0.076158940397351,0.41412742382271467
0.07744107744107744,0.41412742382271467
0.07690281801422176,0.40443213296398894
0.07684069611780456,0.3975069252077562
0.07761437908496732,0.39473684210526316
0.07786090329731228,0.389196675900277
0.0775521714608009,0.3808864265927978
0.07721010332950631,0.37257617728531855
0.07804735457468577,0.3698060941828255
0.07864164432529044,0.3656509695290859
0.07832422586520947,0.3573407202216066
0.07801857585139318,0.3490304709141274
0.07830754657404483,0.34349030470914127
0.07860824742268041,0.3379501385041551
0.07864429088515959,0.33102493074792244
0.07860262008733625,0.32409972299168976
0.0789293067947838,0.3185595567867036
0.07967707967707968,0.314404432132964
0.08001435235019734,0.30886426592797783
0.07889908256880734,0.29778393351800553
0.07998497934660158,0.2950138504155125
0.08038461538461539,0.2894736842105263
0.08037825059101655,0.28254847645429365
0.08117932148626818,0.278393351800554
0.08250414593698176,0.2756232686980609
0.08343976160068114,0.27146814404432135
0.08486439195100612,0.26869806094182824
0.08636977058029689,0.2659279778393352
0.0875,0.26177285318559557
0.0886558627264061,0.25761772853185594
0.08898721730580138,0.25069252077562326
0.09030948756976154,0.24653739612188366
0.08866736621196222,0.23407202216066483
0.09061313076505698,0.23130193905817176
0.09162450815064643,0.2257617728531856
0.09265734265734266,0.22022160664819945
0.09200968523002422,0.21052631578947367
0.09130982367758186,0.20083102493074792
0.09174311926605505,0.19390581717451524
0.09178082191780822,0.18559556786703602
0.0939068100358423,0.1814404432132964
0.0960960960960961,0.1772853185595568
0.09621451104100946,0.16897506925207756
0.0970954356846473,0.16204986149584488
0.09920983318700614,0.15650969529085873
0.10027855153203342,0.14958448753462603
0.10109018830525272,0.14127423822714683
0.0975609756097561,0.12742382271468145
0.09772727272727273,0.11911357340720222
0.0941320293398533,0.10664819944598337
